                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91249,                0.38112,                0.97073,                0.87945,                0.82358,                0.91083,                0.62572,                 1.1076,                0.76796,                 1.1757,               0.001307,               0.001307,               0.001307
                     37,                0.91104,                0.37791,                0.97157,                0.86876,                 0.8412,                0.91545,                0.63034,                 1.1248,                0.75161,                 1.2056,              0.0012872,              0.0012872,              0.0012872
                     38,                0.90813,                0.38223,                0.96982,                0.85816,                 0.8681,                0.92286,                0.63801,                 1.0931,                0.68164,                 1.1711,              0.0012674,              0.0012674,              0.0012674
                     39,                0.90284,                0.37674,                0.96724,                0.84969,                0.86043,                0.92297,                0.64569,                 1.0874,                0.75771,                 1.1831,              0.0012476,              0.0012476,              0.0012476
                     40,                0.90402,                0.37843,                0.96763,                0.86546,                0.83614,                0.90108,                0.60867,                 1.1284,                0.80862,                 1.1962,              0.0012278,              0.0012278,              0.0012278
                     41,                0.90438,                0.38023,                0.97037,                0.84118,                  0.863,                0.91219,                0.62111,                  1.115,                0.73849,                 1.1879,               0.001208,               0.001208,               0.001208
                     42,                0.90348,                0.37757,                0.97402,                0.85906,                0.81065,                0.88421,                0.60534,                 1.1107,                0.86397,                 1.1978,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89032,                0.37154,                0.96648,                0.86478,                0.85548,                0.91413,                0.61463,                 1.1405,                0.71517,                 1.2048,              0.0011684,              0.0011684,              0.0011684
                     44,                0.89744,                0.37269,                0.96716,                 0.8856,                0.82103,                0.90538,                0.62032,                 1.1351,                0.78666,                 1.2072,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.8956,                0.37075,                0.96648,                0.86051,                0.82059,                0.89749,                0.60378,                 1.1303,                0.84281,                  1.195,              0.0011288,              0.0011288,              0.0011288
                     46,                0.89323,                0.36841,                0.96932,                0.86245,                0.83464,                0.90056,                0.62154,                 1.1158,                0.83982,                 1.1997,               0.001109,               0.001109,               0.001109
                     47,                0.89066,                0.36964,                0.96547,                0.85197,                0.84434,                 0.9033,                0.60403,                 1.1546,                0.81308,                 1.2283,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88599,                0.36487,                0.96509,                0.87073,                0.86665,                 0.9177,                0.63479,                 1.0981,                0.70193,                 1.1879,              0.0010694,              0.0010694,              0.0010694
                     49,                0.88994,                0.36833,                0.96987,                0.83415,                0.82312,                0.88268,                0.60259,                 1.1312,                0.91243,                 1.2107,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.8857,                0.36986,                0.96372,                0.85668,                 0.8541,                0.90836,                0.61889,                   1.13,                0.75828,                 1.2154,              0.0010298,              0.0010298,              0.0010298
                     51,                0.88381,                0.36674,                0.96022,                0.83255,                0.88105,                0.91337,                0.62522,                 1.1014,                0.69625,                 1.1994,                0.00101,                0.00101,                0.00101
                     52,                0.88143,                0.36672,                0.96337,                0.88364,                0.86049,                0.90925,                0.62663,                 1.1086,                0.71484,                 1.1977,              0.0009902,              0.0009902,              0.0009902
                     53,                0.89002,                0.36801,                0.96185,                0.87775,                0.84109,                0.89663,                0.61766,                 1.1093,                0.73956,                 1.1766,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87853,                0.36314,                0.95648,                0.87792,                0.85211,                0.90991,                0.62833,                 1.1088,                0.71335,                 1.1888,              0.0009506,              0.0009506,              0.0009506
                     55,                0.88124,                0.36536,                0.96014,                0.87971,                 0.8152,                0.90474,                0.62794,                 1.0984,                0.77749,                 1.1851,              0.0009308,              0.0009308,              0.0009308
                     56,                0.88322,                0.36659,                0.96116,                 0.8527,                0.87726,                0.91372,                0.63055,                  1.096,                0.70423,                 1.1656,               0.000911,               0.000911,               0.000911
                     57,                0.87545,                0.36115,                0.96242,                0.82827,                0.84423,                0.89641,                0.61428,                 1.1412,                0.88927,                 1.2194,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.8699,                0.36012,                0.96015,                0.87075,                 0.8374,                0.90185,                0.62321,                 1.1138,                0.80477,                 1.2017,              0.0008714,              0.0008714,              0.0008714
                     59,                0.87253,                0.35908,                 0.9571,                0.87331,                 0.8146,                0.90279,                  0.612,                 1.1252,                0.80822,                 1.2029,              0.0008516,              0.0008516,              0.0008516
                     60,                0.87543,                0.35926,                0.95805,                0.85533,                0.85088,                0.91143,                0.62728,                 1.1222,                0.75304,                 1.2038,              0.0008318,              0.0008318,              0.0008318
                     61,                0.87675,                0.36052,                0.96221,                0.85147,                0.80142,                0.88394,                0.60461,                 1.1131,                0.86809,                 1.1889,               0.000812,               0.000812,               0.000812
                     62,                0.86486,                0.35793,                0.95553,                 0.8526,                0.81864,                0.89021,                0.60388,                 1.1353,                0.81302,                 1.2114,              0.0007922,              0.0007922,              0.0007922
                     63,                0.86574,                0.35301,                0.95076,                0.84638,                0.83622,                0.89728,                0.61321,                 1.1343,                0.81356,                 1.2065,              0.0007724,              0.0007724,              0.0007724
                     64,                0.86657,                0.35727,                 0.9554,                0.86688,                0.82094,                0.89058,                0.62116,                 1.1059,                0.88126,                 1.1868,              0.0007526,              0.0007526,              0.0007526
                     65,                0.85877,                0.35488,                0.95498,                0.86522,                 0.8518,                0.90577,                0.63175,                 1.0939,                0.77131,                 1.1771,              0.0007328,              0.0007328,              0.0007328
                     66,                0.85931,                0.35518,                0.94936,                0.85635,                0.82186,                0.89637,                0.61786,                 1.1174,                0.81025,                 1.1985,               0.000713,               0.000713,               0.000713
                     67,                0.86286,                0.35417,                0.95616,                0.87222,                0.82439,                 0.8948,                0.61541,                 1.1279,                0.81704,                 1.2101,              0.0006932,              0.0006932,              0.0006932
                     68,                0.86166,                0.35349,                0.95368,                0.88851,                0.84615,                0.92554,                0.64008,                 1.1143,                0.68351,                 1.2026,              0.0006734,              0.0006734,              0.0006734
                     69,                0.86727,                0.35456,                0.95959,                0.86966,                0.82521,                0.90114,                0.61193,                 1.1288,                0.77132,                 1.2133,              0.0006536,              0.0006536,              0.0006536
                     70,                0.85946,                0.35369,                0.95436,                0.84995,                0.81604,                0.88171,                0.60766,                 1.1173,                0.87703,                 1.1946,              0.0006338,              0.0006338,              0.0006338
                     71,                0.85511,                0.35282,                0.95317,                0.86736,                0.82909,                0.88373,                0.60519,                 1.1113,                0.85998,                 1.1953,               0.000614,               0.000614,               0.000614
                     72,                0.85302,                0.34831,                 0.9471,                0.85567,                0.86423,                0.91063,                0.62964,                 1.1179,                0.75389,                 1.2022,              0.0005942,              0.0005942,              0.0005942
                     73,                0.85646,                0.35275,                0.95457,                0.87412,                0.84201,                0.91247,                0.62785,                 1.1285,                0.74909,                 1.2116,              0.0005744,              0.0005744,              0.0005744
                     74,                0.84942,                0.34936,                0.95402,                0.85472,                0.84958,                0.89662,                0.61917,                 1.1081,                0.78329,                 1.1976,              0.0005546,              0.0005546,              0.0005546
                     75,                0.85758,                0.35087,                0.95742,                0.84833,                 0.8792,                0.91577,                 0.6354,                 1.0974,                0.69854,                 1.1891,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85229,                0.34703,                0.95539,                0.85771,                0.84661,                0.89547,                0.61607,                  1.117,                0.76778,                 1.2025,               0.000515,               0.000515,               0.000515
                     77,                0.84692,                0.34616,                0.95144,                0.85915,                  0.883,                 0.9197,                0.64519,                 1.1008,                0.67516,                 1.1822,              0.0004952,              0.0004952,              0.0004952
                     78,                0.85124,                0.34734,                0.95111,                0.86491,                0.86216,                0.90856,                0.63094,                 1.1158,                0.72856,                 1.1959,              0.0004754,              0.0004754,              0.0004754
                     79,                0.84397,                0.34462,                 0.9536,                0.87843,                 0.8351,                  0.901,                0.62558,                 1.1237,                0.78363,                  1.193,              0.0004556,              0.0004556,              0.0004556
                     80,                   0.84,                0.34515,                0.94776,                0.85683,                0.88392,                0.91774,                0.63475,                 1.1229,                0.70428,                 1.2082,              0.0004358,              0.0004358,              0.0004358
                     81,                0.84136,                0.34399,                0.94654,                0.84681,                0.84916,                0.90155,                0.62178,                 1.1213,                0.80303,                 1.1981,               0.000416,               0.000416,               0.000416
                     82,                0.83867,                0.34212,                0.94916,                0.86637,                0.84665,                0.90123,                0.62522,                 1.1149,                0.78166,                 1.1989,              0.0003962,              0.0003962,              0.0003962
                     83,                0.84357,                0.34145,                0.95317,                0.87016,                0.85045,                0.90587,                 0.6229,                  1.123,                0.77058,                 1.2057,              0.0003764,              0.0003764,              0.0003764
                     84,                0.84588,                0.34417,                0.95043,                0.87713,                0.85917,                0.91684,                 0.6344,                 1.1155,                0.71986,                 1.2009,              0.0003566,              0.0003566,              0.0003566
                     85,                0.83889,                0.33961,                0.94872,                0.86812,                0.86239,                0.90855,                0.63509,                  1.124,                0.77206,                 1.2062,              0.0003368,              0.0003368,              0.0003368
                     86,                0.83992,                0.33965,                0.94891,                0.85252,                0.84984,                0.89094,                0.61358,                 1.1291,                0.82274,                 1.2099,               0.000317,               0.000317,               0.000317
                     87,                0.84092,                0.34079,                0.95141,                0.87205,                0.84638,                0.90051,                0.62288,                 1.1232,                0.77186,                 1.2088,              0.0002972,              0.0002972,              0.0002972
                     88,                0.83172,                 0.3328,                 0.9434,                0.86184,                0.84261,                0.89525,                0.61414,                 1.1275,                0.78861,                 1.2206,              0.0002774,              0.0002774,              0.0002774
                     89,                0.83651,                0.33853,                0.94721,                0.86699,                0.85945,                0.91106,                0.62875,                 1.1118,                0.73188,                 1.2023,              0.0002576,              0.0002576,              0.0002576
                     90,                0.82907,                0.33476,                0.94533,                0.87716,                0.84431,                 0.9061,                0.62705,                 1.1153,                  0.757,                 1.2031,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82383,                0.32957,                0.95728,                0.86504,                0.86877,                0.90732,                0.63198,                  1.103,                0.73482,                 1.2006,               0.000218,               0.000218,               0.000218
                     92,                0.81851,                0.32514,                 0.9549,                0.86514,                0.84878,                0.89925,                 0.6202,                 1.1198,                0.78278,                 1.2026,              0.0001982,              0.0001982,              0.0001982
                     93,                0.81917,                0.32438,                0.95285,                 0.8678,                0.84661,                0.89684,                0.62089,                 1.1214,                0.80617,                 1.2051,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81467,                0.32312,                0.95131,                0.86753,                0.86158,                 0.9069,                0.63213,                 1.1115,                0.74385,                 1.1939,              0.0001586,              0.0001586,              0.0001586
                     95,                0.81424,                0.32326,                0.95074,                  0.867,                0.84747,                0.89793,                0.61813,                 1.1286,                0.81071,                 1.2065,              0.0001388,              0.0001388,              0.0001388
                     96,                0.81021,                0.32113,                0.95116,                0.86099,                 0.8602,                0.90125,                0.62342,                 1.1199,                0.79827,                 1.2033,               0.000119,               0.000119,               0.000119
                     97,                 0.8101,                0.32043,                0.95151,                0.86835,                0.86608,                0.90588,                0.62785,                 1.1117,                0.75649,                 1.1966,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  0.806,                0.31945,                0.94793,                 0.8764,                0.85698,                0.90847,                0.63006,                  1.115,                0.74947,                 1.1987,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.80811,                0.31755,                0.94796,                0.87668,                0.85543,                0.90798,                0.62968,                 1.1146,                0.75675,                 1.1949,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.80736,                0.31757,                 0.9506,                0.86631,                0.85516,                0.90365,                0.62616,                 1.1164,                0.78389,                 1.1945,               3.98e-05,               3.98e-05,               3.98e-05
