                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91026,                0.35681,                 1.0512,                 0.8572,                0.84195,                0.90597,                0.62015,                 1.1919,                0.98988,                 1.3325,              0.0013268,              0.0013268,              0.0013268
                     36,                0.90805,                0.35939,                 1.0476,                0.85033,                0.83971,                0.90007,                0.61627,                 1.1914,                 1.0155,                 1.3388,               0.001307,               0.001307,               0.001307
                     37,                 0.9043,                0.35826,                 1.0408,                0.86438,                0.86974,                0.92756,                0.65217,                  1.144,                0.86273,                 1.3106,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.8986,                0.35402,                  1.051,                0.84952,                0.84708,                0.91004,                0.63122,                  1.171,                0.99197,                  1.337,              0.0012674,              0.0012674,              0.0012674
                     39,                0.89433,                0.35195,                 1.0413,                0.86618,                0.84824,                0.90734,                0.62612,                 1.1708,                0.95701,                 1.3226,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89722,                0.35086,                 1.0412,                0.86643,                0.83683,                0.90643,                0.62478,                 1.1674,                0.99178,                  1.334,              0.0012278,              0.0012278,              0.0012278
                     41,                0.89933,                0.35376,                 1.0548,                0.88182,                0.83544,                0.90719,                0.62336,                 1.1745,                0.92892,                  1.328,               0.001208,               0.001208,               0.001208
                     42,                0.90256,                0.35469,                 1.0478,                0.86237,                0.82108,                0.88674,                0.60083,                 1.1928,                 1.0505,                 1.3449,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89508,                0.35169,                 1.0361,                0.83884,                0.88151,                0.91899,                0.64423,                 1.1293,                0.87063,                 1.3041,              0.0011684,              0.0011684,              0.0011684
                     44,                0.89392,                0.34863,                 1.0417,                0.86644,                0.86583,                0.91629,                0.63293,                 1.1398,                 0.9327,                 1.3115,              0.0011486,              0.0011486,              0.0011486
                     45,                0.89058,                0.34798,                 1.0327,                0.85771,                0.86515,                0.90646,                0.62425,                 1.1661,                0.88929,                 1.3141,              0.0011288,              0.0011288,              0.0011288
                     46,                  0.885,                  0.347,                 1.0373,                0.86628,                0.82954,                0.89146,                0.61747,                 1.1638,                 1.0233,                 1.3233,               0.001109,               0.001109,               0.001109
                     47,                0.88853,                0.34876,                 1.0454,                0.84892,                0.85318,                0.88491,                0.61327,                 1.1747,                0.96807,                  1.329,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88707,                0.34603,                 1.0429,                0.88625,                0.82255,                0.89652,                0.62157,                 1.1946,                 1.0214,                 1.3313,              0.0010694,              0.0010694,              0.0010694
                     49,                0.87695,                0.34301,                 1.0368,                0.87699,                0.83187,                0.90678,                0.62781,                 1.1584,                0.91367,                 1.3177,              0.0010496,              0.0010496,              0.0010496
                     50,                0.88258,                0.34838,                 1.0358,                0.85397,                0.85583,                0.89511,                0.61772,                   1.18,                 1.0126,                 1.3302,              0.0010298,              0.0010298,              0.0010298
                     51,                0.88784,                0.34873,                 1.0361,                0.86188,                0.84638,                0.90502,                0.62732,                 1.1986,                0.94174,                 1.3663,                0.00101,                0.00101,                0.00101
                     52,                 0.8779,                0.34396,                 1.0378,                0.85714,                0.85041,                0.90461,                0.62951,                 1.1724,                0.96879,                 1.3232,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88389,                0.34725,                 1.0364,                0.84436,                 0.8518,                0.90164,                0.61982,                 1.1624,                 1.0173,                 1.3353,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87179,                0.34217,                 1.0313,                0.88557,                0.81748,                0.90522,                0.62475,                  1.189,                0.98057,                  1.336,              0.0009506,              0.0009506,              0.0009506
                     55,                0.87266,                0.34152,                 1.0293,                0.84182,                0.87103,                  0.896,                0.61701,                 1.1625,                0.96881,                 1.3279,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87934,                0.34181,                 1.0377,                 0.8531,                0.86669,                0.90775,                0.63228,                 1.1349,                0.86541,                 1.3078,               0.000911,               0.000911,               0.000911
                     57,                0.86996,                0.33878,                 1.0311,                 0.8575,                0.86343,                0.89583,                0.62033,                 1.1697,                0.92144,                 1.3353,              0.0008912,              0.0008912,              0.0008912
                     58,                0.87363,                0.34123,                 1.0315,                  0.871,                0.83038,                0.88758,                0.61149,                 1.1797,                0.97118,                 1.3331,              0.0008714,              0.0008714,              0.0008714
                     59,                0.86862,                0.33862,                 1.0323,                0.86432,                0.89278,                0.91972,                0.64565,                 1.1515,                0.79264,                  1.329,              0.0008516,              0.0008516,              0.0008516
                     60,                0.86477,                0.33875,                 1.0253,                0.84948,                0.88645,                0.91039,                0.63643,                 1.1554,                0.80573,                 1.3022,              0.0008318,              0.0008318,              0.0008318
                     61,                0.87065,                0.34003,                 1.0311,                0.84995,                0.82094,                0.87717,                0.61357,                 1.1759,                 1.0535,                 1.3402,               0.000812,               0.000812,               0.000812
                     62,                0.86172,                0.33867,                 1.0231,                0.85885,                0.87588,                0.89628,                0.62441,                 1.1438,                0.91065,                 1.3208,              0.0007922,              0.0007922,              0.0007922
                     63,                0.85475,                0.33575,                 1.0247,                0.87138,                0.85898,                0.89622,                 0.6202,                 1.1537,                0.91397,                 1.3287,              0.0007724,              0.0007724,              0.0007724
                     64,                0.85378,                0.33389,                 1.0097,                0.84014,                0.84258,                0.87724,                0.60551,                 1.1795,                 1.0002,                 1.3365,              0.0007526,              0.0007526,              0.0007526
                     65,                0.85891,                0.33597,                 1.0182,                0.86236,                0.83786,                0.88108,                0.61278,                 1.1702,                 1.0377,                 1.3278,              0.0007328,              0.0007328,              0.0007328
                     66,                0.86352,                 0.3366,                  1.028,                0.88347,                0.83197,                0.88844,                0.62301,                 1.1625,                 1.0453,                 1.3254,               0.000713,               0.000713,               0.000713
                     67,                0.85411,                0.33613,                 1.0248,                 0.8867,                0.82635,                0.89329,                0.62008,                 1.1597,                0.94774,                  1.325,              0.0006932,              0.0006932,              0.0006932
                     68,                0.84771,                0.33403,                 1.0268,                0.85868,                0.86065,                0.89826,                0.62369,                 1.1721,                0.93236,                 1.3407,              0.0006734,              0.0006734,              0.0006734
                     69,                0.85046,                0.33141,                 1.0191,                  0.856,                 0.8591,                0.89992,                0.62675,                 1.1537,                0.94845,                 1.3261,              0.0006536,              0.0006536,              0.0006536
                     70,                0.84855,                0.33239,                 1.0228,                0.86449,                0.83556,                0.89258,                0.61602,                 1.1711,                0.98039,                 1.3262,              0.0006338,              0.0006338,              0.0006338
                     71,                0.85242,                0.33633,                 1.0186,                0.87658,                 0.8547,                0.90353,                0.62273,                  1.169,                0.90762,                 1.3302,               0.000614,               0.000614,               0.000614
                     72,                 0.8478,                0.33028,                 1.0143,                0.88703,                0.83096,                0.90718,                0.63464,                 1.1518,                0.90785,                  1.317,              0.0005942,              0.0005942,              0.0005942
                     73,                0.84786,                0.33251,                 1.0166,                 0.8418,                0.86193,                0.90622,                0.62695,                 1.1808,                0.90824,                 1.3398,              0.0005744,              0.0005744,              0.0005744
                     74,                0.84468,                0.33197,                 1.0182,                 0.8494,                0.86895,                0.90753,                0.63588,                  1.157,                0.92238,                  1.311,              0.0005546,              0.0005546,              0.0005546
                     75,                0.84275,                0.32791,                 1.0136,                0.85704,                0.86292,                0.90251,                0.62427,                 1.1645,                0.92868,                 1.3329,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83985,                0.32667,                 1.0185,                0.85393,                0.85028,                0.89219,                0.61929,                 1.1631,                0.92403,                  1.324,               0.000515,               0.000515,               0.000515
                     77,                  0.846,                0.33129,                 1.0162,                0.85206,                0.87103,                0.90446,                0.63325,                 1.1527,                0.92241,                 1.3107,              0.0004952,              0.0004952,              0.0004952
                     78,                0.83318,                0.32809,                 1.0095,                0.84948,                0.85848,                0.90267,                0.63182,                 1.1676,                0.97968,                 1.3289,              0.0004754,              0.0004754,              0.0004754
                     79,                0.83087,                0.32409,                 1.0157,                0.85926,                0.84339,                 0.8908,                0.61459,                 1.1847,                 0.9746,                 1.3335,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83878,                0.32916,                 1.0112,                0.86374,                0.85474,                0.89984,                0.62776,                 1.1567,                0.91912,                 1.3037,              0.0004358,              0.0004358,              0.0004358
                     81,                0.82803,                0.32428,                 1.0058,                0.85054,                0.86895,                 0.9071,                0.62773,                 1.1637,                0.89243,                 1.3313,               0.000416,               0.000416,               0.000416
                     82,                0.83278,                0.32896,                 1.0098,                0.86581,                0.82474,                0.88367,                0.61029,                 1.1865,                  1.032,                 1.3427,              0.0003962,              0.0003962,              0.0003962
                     83,                0.83079,                0.32349,                 1.0106,                0.86457,                0.82777,                0.89551,                0.62909,                 1.1597,                 1.0095,                 1.3051,              0.0003764,              0.0003764,              0.0003764
                     84,                0.82723,                0.32336,                 1.0106,                 0.8508,                0.84642,                0.89724,                0.62826,                   1.16,                0.98643,                 1.3104,              0.0003566,              0.0003566,              0.0003566
                     85,                0.82644,                0.32331,                 1.0088,                0.86189,                 0.8221,                0.88942,                0.61832,                 1.1758,                 1.0449,                 1.3218,              0.0003368,              0.0003368,              0.0003368
                     86,                0.82857,                0.32318,                 1.0064,                0.86406,                0.83625,                0.89166,                0.62308,                 1.1663,                 1.0036,                 1.3157,               0.000317,               0.000317,               0.000317
                     87,                0.82456,                0.32327,                 1.0112,                 0.8634,                0.83775,                0.89275,                  0.618,                 1.1955,                 1.0287,                 1.3559,              0.0002972,              0.0002972,              0.0002972
                     88,                0.81819,                0.31886,                 1.0052,                0.87461,                0.82172,                0.89024,                 0.6197,                 1.1679,                 1.0362,                 1.3383,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82017,                0.32009,                 1.0115,                0.88645,                0.82209,                0.89891,                 0.6269,                 1.1581,                0.96688,                 1.3184,              0.0002576,              0.0002576,              0.0002576
                     90,                0.81672,                0.31785,                 1.0062,                0.84918,                0.83965,                0.89289,                0.62216,                 1.1707,                 1.0008,                 1.3384,              0.0002378,              0.0002378,              0.0002378
