                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93159,                0.36755,                 1.0631,                0.83164,                0.85099,                0.89572,                0.62455,                 1.1544,                0.99922,                 1.3263,              0.0013268,              0.0013268,              0.0013268
                     36,                0.92842,                0.36044,                 1.0606,                 0.8836,                0.86803,                0.92133,                0.63053,                 1.1953,                0.82439,                 1.3653,               0.001307,               0.001307,               0.001307
                     37,                0.92573,                0.35708,                 1.0685,                 0.8764,                0.86718,                0.91512,                0.63932,                  1.165,                0.90385,                 1.3476,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91834,                0.35935,                 1.0711,                0.85725,                 0.8402,                0.90792,                0.61871,                 1.2003,                0.86515,                 1.3694,              0.0012674,              0.0012674,              0.0012674
                     39,                0.91904,                0.35632,                 1.0586,                0.86662,                0.84454,                0.91099,                0.63541,                 1.1858,                0.99422,                 1.3498,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91577,                0.35699,                 1.0586,                0.86298,                0.85053,                0.90842,                0.63646,                 1.1784,                0.96608,                 1.3419,              0.0012278,              0.0012278,              0.0012278
                     41,                0.91703,                0.35988,                 1.0723,                0.84191,                0.84631,                0.89634,                0.62393,                 1.1804,                 1.0664,                 1.3397,               0.001208,               0.001208,               0.001208
                     42,                0.92038,                0.35925,                 1.0611,                0.88558,                0.88554,                0.92896,                0.65976,                  1.154,                0.82272,                 1.3314,              0.0011882,              0.0011882,              0.0011882
                     43,                0.91007,                0.35093,                 1.0553,                0.83868,                0.84234,                0.89412,                0.61692,                 1.1906,                0.99236,                 1.3455,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.9171,                0.35887,                 1.0576,                0.87382,                0.84443,                0.90599,                 0.6275,                 1.1726,                0.97374,                 1.3465,              0.0011486,              0.0011486,              0.0011486
                     45,                0.90983,                0.35251,                  1.058,                0.85719,                0.86054,                0.90777,                0.64489,                 1.1765,                0.98122,                 1.3333,              0.0011288,              0.0011288,              0.0011288
                     46,                0.90371,                0.34958,                 1.0523,                0.88627,                0.86585,                0.89932,                0.63484,                 1.1538,                0.93129,                 1.3309,               0.001109,               0.001109,               0.001109
                     47,                0.90402,                0.34889,                 1.0557,                0.85217,                0.87978,                0.91767,                0.65086,                 1.1455,                0.87834,                 1.3267,              0.0010892,              0.0010892,              0.0010892
                     48,                0.89773,                0.34829,                 1.0512,                0.86238,                0.88116,                0.91392,                0.64121,                 1.1668,                0.86852,                 1.3422,              0.0010694,              0.0010694,              0.0010694
                     49,                0.89878,                0.34636,                 1.0564,                0.86928,                0.85053,                0.90896,                0.63506,                 1.1696,                0.95669,                 1.3267,              0.0010496,              0.0010496,              0.0010496
                     50,                0.89763,                0.34516,                 1.0479,                0.85038,                0.82463,                0.87458,                0.59949,                 1.1996,                 1.0493,                  1.349,              0.0010298,              0.0010298,              0.0010298
