                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94665,                0.41303,                0.98201,                0.87676,                0.88381,                 0.9312,                0.63913,                 1.1089,                0.68769,                 1.1632,              0.0013268,              0.0013268,              0.0013268
                     36,                0.94907,                0.40855,                0.98263,                0.87328,                0.88004,                0.92366,                0.62246,                 1.1544,                0.68129,                 1.1966,               0.001307,               0.001307,               0.001307
                     37,                0.94479,                0.40381,                0.98117,                0.86665,                 0.8754,                 0.9265,                0.64097,                 1.1294,                0.70799,                 1.1881,              0.0012872,              0.0012872,              0.0012872
                     38,                0.93801,                0.40269,                0.97756,                0.85145,                0.85079,                0.91088,                0.62477,                 1.1286,                0.79546,                 1.1848,              0.0012674,              0.0012674,              0.0012674
                     39,                0.93604,                0.40345,                0.97923,                0.88892,                0.88323,                0.93941,                 0.6606,                 1.0901,                0.62028,                 1.1495,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.9384,                0.40306,                0.97868,                0.87331,                0.86066,                0.92917,                0.64393,                 1.1142,                0.71605,                 1.1686,              0.0012278,              0.0012278,              0.0012278
                     41,                0.93789,                0.40304,                0.97928,                 0.8754,                0.86483,                0.92636,                0.63605,                 1.1349,                0.67201,                 1.1904,               0.001208,               0.001208,               0.001208
                     42,                  0.938,                0.40264,                0.98426,                0.87687,                0.87827,                0.92794,                0.64337,                 1.1077,                0.65411,                 1.1721,              0.0011882,              0.0011882,              0.0011882
                     43,                0.92603,                0.39692,                0.97932,                0.85081,                 0.8839,                0.91318,                0.61298,                 1.1463,                0.70334,                 1.2065,              0.0011684,              0.0011684,              0.0011684
                     44,                0.92936,                 0.3945,                0.97973,                0.84261,                0.85754,                0.91671,                0.63498,                 1.1276,                0.81929,                 1.1869,              0.0011486,              0.0011486,              0.0011486
                     45,                0.92994,                0.39252,                0.97718,                0.86076,                0.86677,                0.90987,                0.62384,                 1.1155,                0.76087,                 1.1752,              0.0011288,              0.0011288,              0.0011288
                     46,                0.92913,                 0.3927,                0.98001,                0.85963,                0.84201,                0.90676,                 0.6191,                 1.1441,                0.81626,                 1.1926,               0.001109,               0.001109,               0.001109
                     47,                0.92635,                0.39024,                0.97618,                0.86989,                0.88002,                0.92479,                0.63935,                 1.1119,                0.69272,                 1.1772,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91448,                0.38695,                0.97343,                0.87827,                0.88065,                0.92086,                0.63852,                 1.1064,                 0.6491,                 1.1728,              0.0010694,              0.0010694,              0.0010694
                     49,                0.92686,                0.39443,                0.98293,                0.88568,                0.85825,                0.91867,                0.63443,                 1.1136,                0.72196,                 1.1817,              0.0010496,              0.0010496,              0.0010496
                     50,                0.91762,                 0.3909,                0.97486,                0.85942,                0.89072,                0.93834,                 0.6404,                 1.1405,                0.62883,                  1.209,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9191,                 0.3898,                0.97397,                0.89547,                0.87602,                0.93382,                0.65242,                 1.0949,                0.65897,                 1.1676,                0.00101,                0.00101,                0.00101
                     52,                0.91737,                0.38884,                0.97628,                0.88335,                0.84763,                 0.9227,                0.63791,                 1.1169,                0.72019,                 1.1923,              0.0009902,              0.0009902,              0.0009902
                     53,                0.92294,                0.39078,                 0.9754,                0.87028,                0.86838,                0.92636,                0.64718,                 1.1066,                0.69452,                 1.1616,              0.0009704,              0.0009704,              0.0009704
                     54,                0.91366,                0.38598,                0.96844,                0.86889,                0.86995,                0.92104,                0.62807,                 1.1347,                 0.6905,                 1.2025,              0.0009506,              0.0009506,              0.0009506
                     55,                0.91544,                0.38523,                0.97273,                0.87455,                0.90062,                0.93963,                0.66391,                 1.0848,                0.62079,                 1.1566,              0.0009308,              0.0009308,              0.0009308
                     56,                0.92068,                0.38756,                0.97508,                 0.8745,                0.85134,                0.92628,                0.63746,                 1.1098,                  0.715,                 1.1759,               0.000911,               0.000911,               0.000911
                     57,                0.91121,                0.38185,                0.97737,                0.87308,                0.87494,                0.93923,                0.65227,                 1.1149,                0.65728,                 1.1888,              0.0008912,              0.0008912,              0.0008912
                     58,                0.90544,                0.38089,                 0.9718,                0.85892,                0.88688,                 0.9296,                0.64606,                 1.1075,                0.69084,                 1.1801,              0.0008714,              0.0008714,              0.0008714
                     59,                0.90811,                0.37907,                0.96898,                0.84823,                0.87848,                0.91517,                0.62019,                 1.1425,                0.74142,                 1.1974,              0.0008516,              0.0008516,              0.0008516
                     60,                0.91345,                0.38076,                0.97141,                0.86866,                0.87563,                0.92882,                0.64631,                 1.1076,                0.69301,                 1.1716,              0.0008318,              0.0008318,              0.0008318
                     61,                0.91274,                0.38067,                 0.9755,                0.87752,                0.87702,                0.92786,                0.64123,                 1.1069,                0.68503,                  1.171,               0.000812,               0.000812,               0.000812
                     62,                0.90552,                0.37867,                0.96904,                0.87956,                0.86622,                0.92681,                0.63339,                 1.1261,                  0.703,                 1.1951,              0.0007922,              0.0007922,              0.0007922
                     63,                0.90227,                0.37384,                0.96351,                0.88322,                0.85318,                0.92881,                0.64254,                 1.1046,                0.68758,                 1.1724,              0.0007724,              0.0007724,              0.0007724
                     64,                0.90344,                0.37949,                0.96902,                0.86871,                0.87851,                0.93188,                0.63618,                 1.1209,                0.66155,                 1.1917,              0.0007526,              0.0007526,              0.0007526
